ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
18A013000,306600,36587496,227,STRIBLING AVE,,LOT 8 & PT 7 BK C HUNTLEY HALL,12458.16
180015300,312500,36587497,134,STRIBLING AVE,,LOT 1 BK B SEC 1 SUNSET,7274.52
18A016000,271100,36587498,229,STRIBLING AVE,,LOT 6 & PT 7 BK C HUNTLEY HALL,12980.88
18A017000,301600,36587499,231,STRIBLING AVE,,LOT 5 BK C HUNTLEY HALL,8886.24
180027000,932900,36587500,2407,JEFFERSON PARK AVE,,PT LOTS 4&5 BK 1 JEFFERSON PK,0
180015200,321900,36587501,138,STRIBLING AVE,,LOT 3 BK A SEC 1 SUNSET,7840.8
18A018000,172800,36587502,233,STRIBLING AVE,,LOT 4 BK C HUNTLEY HALL,9104.04
18A019000,362900,36587503,235,STRIBLING AVE,,LOT 3 BK C HUNTLEY HALL,9278.28
180015100,316800,36587504,140,STRIBLING AVE,,LOT 2 BK A SEC 1 SUNSET,8624.88
18A020000,432800,36587505,237,STRIBLING AVE,,LOTS 1 & 2 BK C HUNTLEY HALL,19253.52
180015000,343100,36587506,142,STRIBLING AVE,,LOT 1 BK A SEC 1 SUNSET,10890
180015500,327100,36587507,2404,SUNSET RD,,LOT 1 BK B SEC 2 SUNSET,8058.6
180028000,833200,36587508,2411,JEFFERSON PARK AVE,,PT LOT 5 BK 1 JEFFERSON PARK,32974.92
18A021100,96000,36587509,0,STRIBLING AVE,,LOT B,12153.24
18A034000,378000,36587510,206,STRIBLING AVE,A&B,REVISED LOT 1 BK D HUNTLEY HALL,10105.92
18A035000,378000,36587511,204,STRIBLING AVE,A&B,REVISED LOT 2 BK D HUNTLEY HALL,9234.72
18A036000,464400,36587512,202,STRIBLING AVE,,LOT 3 BK D HUNTLEY HALL,8363.52
18A037000,464400,36587513,200,STRIBLING AVE,,LOT 4 BK D HUNTLEY HALL,8755.56
18A021000,369600,36587514,239,STRIBLING AVE,,LOT A,16901.28
18A032000,260400,36587515,218,STRIBLING AVE,,REVISED LOT 4 BK A HUNTLEY HALL,4443.12
18A032100,230200,36587516,220,STRIBLING AVE,,LOT 3 BK A HUNTLEY HALL,3049.2
180015600,262900,36587517,2406,SUNSET RD,,LOT 2 BK B SEC 2 SUNSET,8058.6
18A032200,230200,36587518,222,STRIBLING AVE,,LOT 2 BK A HUNTLEY HALL,3049.2
180015310,331400,36587519,2405,SUNSET RD,,LOT 1-A BK A SEC 2 SUNSET,6838.92
18A032300,233000,36587520,224,STRIBLING AVE,,LOT 1 BK A HUNTLEY HALL,4486.68
18A022000,453800,36587521,247,STRIBLING AVE,,LOT 5,12196.8
18A031000,306700,36587522,226,STRIBLING AVE,,LOT 8 BK B HUNTLEY HALL,19514.88
18A022100,465700,36587523,249,STRIBLING AVE,,LOT 4,13068
18A030000,331400,36587524,228,STRIBLING AVE,,LOT 7 BK B HUNTLEY HALL,19645.56
18A023000,428500,36587525,251,STRIBLING AVE,,LOT 3,13852.08
180015700,357200,36587526,2408,SUNSET RD,,LOT 3 BK B SEC 2 SUNSET,8058.6
180015301,362800,36587527,2407,SUNSET RD,,LOT 1B BK A SEC 2 SUNSET,10890
18A029000,287000,36587528,230,STRIBLING AVE,,LOT 6 BK B HUNTLEY HALL,19645.56
18A023100,461500,36587529,253,STRIBLING AVE,,LOT 2,14636.16
180030000,455600,36587530,2415,JEFFERSON PARK AVE,,PT LOT 6 BK 1 JEFFERSON PARK,11674.08
18A023200,428500,36587531,255,STRIBLING AVE,,LOT 1,15202.44
18A028000,334000,36587532,234,STRIBLING AVE,,LOT 5 BK B HUNTLEY HALL,19645.56
18A027000,477400,36587533,236,STRIBLING AVE,,LOTS 3 & 4 BK B HUNTLEY HALL,39291.12
180015800,335900,36587534,2410,SUNSET RD,,LOT 4 BK B SEC 2 SUNSET,8363.52
180015290,329300,36587535,2409,SUNSET RD,,LOT 2 BK A SEC 2 SUNSET,11630.52
180032000,1062600,36587536,2421,JEFFERSON PARK AVE,,"LOT 8, 10C & 2.378 AC JEFFERSOK",160344.36
18A026000,391900,36587537,238,STRIBLING AVE,,LOTS 1 & 2 BK B HUNTLEY HALL,39291.12
180031000,656600,36587538,2419,JEFFERSON PARK AVE,,LOT 7B BK 1 JEFFERSON PARK,22128.48
180015900,353600,36587539,2412,SUNSET RD,,LOT 5 BK B SEC 2 SUNSET,9060.48
180015280,343400,36587540,2411,SUNSET RD,,LOT 3 BK A SEC 2 SUNSET,10541.52
18A025000,1041700,36587541,240,STRIBLING AVE,,11.053 ACRES FRY SPRINGS,481468.68
180015101,318400,36587542,2414,SUNSET RD,,LOT 6 BK B SEC 2 SUNSET,9888.12
180015270,330400,36587543,2413,SUNSET RD,,LOT 4 BK A SEC 2 SUNSET,9888.12
180015110,361600,36587544,2416,SUNSET RD,,LOT 7 BK B SEC 2 SUNSET,10672.2
180015260,337400,36587545,2415,SUNSET RD,,LOT 5 BK A SEC 2 SUNSET,9713.88
180033000,829300,36587546,2425,JEFFERSON PARK AVE,,LOT 9 BK 1 JEFFERSON PARK,44736.12
18A024200,353100,36587547,252,STRIBLING AVE,,LOT 3,16160.76
18A024000,388200,36587548,254,STRIBLING AVE,,LOT 2 TRACT I,18774.36
180015120,368600,36587549,2418,SUNSET RD,A&B,LOT 8 BK B SEC 2 SUNSET,11456.28
180015250,307600,36587550,2417,SUNSET RD,,LOT 6 BK A SEC 2 SUNSET,9408.96
18A024100,461500,36587551,256,STRIBLING AVE,,LOT 1,19863.36
180015130,368000,36587552,2420,SUNSET RD,,LOT 9 BK B SEC 2 SUNSET,12153.24
180015240,299200,36587553,2419,SUNSET RD,,LOT 7A BK A SEC 2 SUNSET,8624.88
180015140,319000,36587554,2422,SUNSET RD,,LOT 10 BK B SEC 2 SUNSET,12414.6
180015230,368300,36587555,2421,SUNSET RD,,LOT 8A BK A SEC 2 SUNSET,8537.76
180015220,331200,36587556,2423,SUNSET RD,,LOT 9A BK A SEC 2 SUNSET,9191.16
180015150,325600,36587557,2424,SUNSET RD,,LOT 11 BK B SEC 2 SUNSET,6185.52
180017100,328500,36587558,207,SUNSET AVE,,LOT B JEFFERSON PARK,17859.6
180015210,343100,36587559,2425,SUNSET RD,,LOT 10 BK A SEC 2 SUNSET,11238.48
180015160,343600,36587560,2426,SUNSET RD,,LOT 12 BK B SEC 2 SUNSET,11499.84
180015170,432700,36587561,2428,SUNSET RD,,LOT 13 BK B SEC 2 SUNSET,10236.6
180015201,330100,36587562,2427,SUNSET RD,,LOT 11 BK A SEC 2 SUNSET,11369.16
180016000,246200,36587563,209,SUNSET AVE,,LOT A JEFFERSON PARK,7100.28
180015180,377500,36587564,2430,SUNSET RD,,LOT 14 BK B SEC 2 SUNSET,11151.36
180040000,533400,36587565,2503,BRUNSWICK RD,,LOT 25 JEFFERSON PARK,0
180039000,342700,36587566,100,SUNSET AVE,,LOT 1 FRY SPRINGS TERRACE,8058.6
180039200,425900,36587567,104,SUNSET AVE,,LOT 18 FRY SPRINGS TERRACE,7884.36
180042000,388300,36587568,208,SUNSET AVE,,LOT 24 JEFFERSON PARK,0
180015190,349600,36587569,2432,SUNSET RD,,LOT 15 BK B SEC 2 SUNSET,8799.12
180039400,2812400,36587570,2505,JEFFERSON PARK AVE,,LOT A (3.189 ACRES),138912.84
180043000,225900,36587571,210,SUNSET AVE,,LOT D JEFFERSON PARK,0
180041000,446600,36587572,2509,BRUNSWICK RD,,LOT 26 JEFFERSON PARK,0
180048000,316800,36587573,212,SUNSET AVE,,LOT C JEFFERSON PARK,0
180048100,243900,36587574,216,SUNSET AVE,,LOT B JEFFERSON PARK,0
180049000,256300,36587575,218,SUNSET AVE,,LOT A JEFFERSON PARK,0
180053000,179600,36587576,0,SUNSET AVE,,LOT 20 JEFFERSON PARK,0
180049100,1100,36587577,0,JEFFERSON PARK CIR,,PT LOT 21 JEFFERSON PARK,0
190034000,2527400,36587578,2512,JEFFERSON PARK AVE,,7.013 ACRES FRY'S SPRING,305486.28
200091000,365000,36587579,112,CLEVELAND AVE,,PT LOT 86,0
200089000,279900,36587580,114,CLEVELAND AVE,,LOT 87 & PT 86 JEFFERSON PARK,0
200088000,424100,36587581,2501,WOODLAND DR,,PT LOT 1 WOODED ACRES,0
200001000,379500,36587582,2506,WOODLAND DR,,LOT 10 & PT 11 WOODED ACRES,0
200003200,357200,36587583,210,CLEVELAND AVE,,LOT C WOODED ACRES,7492.32
200003300,357000,36587584,212,CLEVELAND AVE,,LOT D WOODED ACRES,7492.32
200007000,347300,36587585,214,CLEVELAND AVE,,LOT A,12980.88
200004000,388700,36587586,2516,WOODLAND DR,,LOT 13 WOODED ACRES,0
200008000,269900,36587587,2503,WILLARD DR,,LOT B,8145.72
200008100,253600,36587588,2505,WILLARD DR,,LOT C,8145.72
200005000,363800,36587589,2520,WOODLAND DR,,LOT 14 WOODED ACRES,0
200009000,265900,36587590,2507,WILLARD DR,,LOT D,8145.72
200006000,393000,36587591,2522,WOODLAND DR,,LOT 15 WOODED ACRES,0
200010000,455300,36587592,2526,WOODLAND DR,,LOT 16 WOODED ACRES,0
190033000,437400,36587593,0,JEFFERSON PARK RD,,RESERVED AREA PAR X FRY SPRING,169361.28
190032200,380700,36587594,118,PARK RD,,LOT 5 FRY SPRINGS PARK,0
200010100,254200,36587595,2528,WOODLAND DR,,PT LOT 16 WOODED ACRES,0
200011000,265400,36587596,2530,WOODLAND DR,,LOT 10 BK D OAKLAWNS,0
200080000,247100,36587597,2529,WOODLAND DR,,LOT 9 WOODED ACRES,0
200012000,279400,36587598,2536,WOODLAND DR,,LOT 9 BK D OAKLAWNS,0
200079000,346600,36587599,2531,WOODLAND DR,,PT LOT 6 BK A OAKLAWNS,0
200013000,214400,36587600,2538,WOODLAND DR,,LOT 8 BK D OAKLAWNS,0
200078000,412000,36587601,2537,WOODLAND DR,,LOT 5 & PT 4 BK A OAKLAWNS,0
200013100,265000,36587602,2540,WOODLAND DR,,LOT 7 BK D OAKLAWNS,0
200101000,404500,36587603,2607,JEFFERSON PARK AVE,,LOTS 23-25 BK 2 MONTE VISTA,0
200077000,554000,36587604,2614,JEFFERSON PARK AVE,,LOT B,0
200102000,202800,36587605,110,OLD LYNCHBURG RD,,LOTS 31 & 32 BK 2 MONTE VISTA,0
200014000,145600,36587606,2544,WOODLAND DR,,LOT 5 BK D OAKLAWNS,0
200076000,381900,36587607,2616-26,JEFFERSON PARK AVE,,"PT LOT 1, PARCELS X & Y",0
200111000,328200,36587608,2611,JEFFERSON PARK AVE,,LOTS 20-22 BK 2 MONTE VISTA,0
200014100,266900,36587609,2542,WOODLAND DR,,LOT 6 BK D OAKLAWNS,0
200074000,286800,36587610,2541,WOODLAND DR,,LOT B OAKLAWNS,0
200103000,276100,36587611,112,OLD LYNCHBURG RD,,LOT B MONTE VISTA,0
200015000,245000,36587612,2546,WOODLAND DR,,LOT 4 BK D OAKLAWNS,0
200112000,303900,36587613,2613,JEFFERSON PARK AVE,,LOTS 17-19 BK 2 MONTE VISTA,0
200073000,184800,36587614,2543,WOODLAND DR,,LOT A OAKLAWNS,0
200072100,316500,36587615,107,PARK LN W,,LOT B OAKLAWNS,0
200108000,407000,36587616,113,MONTE VISTA AVE,,LOTS A & D BK 2 MONTE VISTA,0
200110000,291200,36587617,105,MONTE VISTA AVE,,LOTS 15 & 16 BK 2 MONTE VISTA,0
200016000,226600,36587618,2548,WOODLAND DR,,LOT 3 BK D OAKLAWNS,0
190002000,796000,36587619,2631,JEFFERSON PARK CIR,,LOT 39 JEFFERSON PARK,0
200072000,428900,36587620,105,PARK LN W,,LOT C OAKLAWNS,0
200071000,320800,36587621,103,PARK LN W,,LOT 2 FRY SPRINGS,0
200109000,205200,36587622,111,MONTE VISTA AVE,,LOT C BK 2 MONTE VISTA,0
200104000,303100,36587623,118,OLD LYNCHBURG RD,,LOTS 38-41 BK 2 MONTE VISTA,0
200017000,232900,36587624,2550,WOODLAND DR,,LOT 2 BK D OAKLAWNS,0
200113200,319800,36587625,100,MONTE VISTA AVE,,LOT X BK 3 MONTE VISTA,0
190003000,650000,36587626,2633,JEFFERSON PARK CIR,,LOT 40 JEFFERSON PARK,0
200066000,569300,36587627,112,PARK LN W,,LOTS A & B BK A OAKLAWNS,18774.36
200070000,531900,36587628,2622,JEFFERSON PARK AVE,,LOT 1 FRY SPRINGS,0
200018000,274800,36587629,2552,WOODLAND DR,,LOT 1 BK D OAKLAWNS,0
200113100,410400,36587630,104,MONTE VISTA AVE,,LOT Y BK 3 MONTE VISTA,0
200105100,195400,36587631,120,OLD LYNCHBURG RD,,LOTS 42 & 43 BK 2 MONTE VISTA,0
200067000,327700,36587632,108,PARK LN W,,LOT 2 BK A OAKLAWNS,0
200064000,228100,36587633,2555,WOODLAND DR,,PT LOT 18 BK A OAKLAWNS,0
200114000,321900,36587634,2621,JEFFERSON PARK AVE,,"LOTS 9,10&PT 8 BK 3 MONTE VISTA",0
200018100,293400,36587635,2554,WOODLAND DR,,LOT 11 & STRIP BK D OAKLAWNS,0
200068000,406900,36587636,106,PARK LN W,,LOT 1 BK A  FRY SPRINGS,0
200106000,327300,36587637,119,MONTE VISTA AVE,,"LOT 2,3,44,45 BK 2 MONTE VISTA",0
200113000,313800,36587638,106,MONTE VISTA AVE,,LOTS 15 & 16 BK 3 MONTE VISTA,0
200107000,324000,36587639,115,MONTE VISTA AVE,,"LOTS 6-8,PT 9 BK 2 MONTE VISTA",0
200069000,474700,36587640,2700,JEFFERSON PARK AVE,,LOT,0
200116000,394300,36587641,108,MONTE VISTA AVE,,"LOTS 2,3,17,18 BK 3 MV",0
200115000,178200,36587642,2623,JEFFERSON PARK AVE,,"LOTS 6,7,PT 8 BK 3 MONTE VISTA",0
200105000,278400,36587643,117,MONTE VISTA AVE,,LOTS 4 & 5 BK 2 MONTE VISTA,0
190058000,398200,36587644,126,OLD LYNCHBURG RD,,LOTS 47-51 BK 2 MONTE VISTA,0
200054000,634400,36587645,2704,JEFFERSON PARK AVE,,LOT 13 BK A OAKLAWNS,0
200117000,446100,36587646,110,MONTE VISTA AVE,,"LOTS 1,19,20 BK 3 MONTE VISTA",0
200055000,322400,36587647,2706,JEFFERSON PARK AVE,,LOT 12 SEC A OAKLAWNS,0
200118000,303000,36587648,112,MONTE VISTA AVE,,LOTS 21 & 22 BK 3 MONTE VISTA,0
200062000,586200,36587649,119,PORTER AVE,,LOT 15 BK A OAKLAWNS,0
200113300,18700,36587650,0,OFF MONTE VISTA AVE,,LOTS 4 & 5 BK 3 MONTE VISTA,0
200150000,434200,36587651,2703,JEFFERSON PARK AVE,,LOTS 47-52 BK 4 MONTE VISTA,0
200056000,441100,36587652,2708,JEFFERSON PARK AVE,,LOT 11 BK A OAKLAWNS,0
200019100,141800,36587653,0,PORTER AVE,,LOT 13 & STRIP BK B OAKLAWNS,0
200118100,415300,36587654,114,MONTE VISTA AVE,,LOTS 23 & 24 BK 3 MONTE VISTA,0
200061000,563000,36587655,115,PORTER AVE,,LOT 14 BK A OAKLAWNS,0
200057000,290100,36587656,2710,JEFFERSON PARK AVE,,LOT 10 BK A OAKLAWNS,0
190034340,348600,36587657,201,OLD LYNCHBURG RD,,LOT 34 BK B JEFFERSON WOODS,0
200119000,413100,36587658,118,MONTE VISTA AVE,,LOTS 25-29 BK 3 MONTE VISTA,0
200053000,405900,36587659,2705,JEFFERSON PARK AVE,,LOT 1,0
200020000,234900,36587660,101,PORTER AVE,,LOT 12 BK B OAKLAWNS,0
200058000,372900,36587661,2712,JEFFERSON PARK AVE,,LOT 9 BK A FRY SPRINGS,0
200052000,296700,36587662,2707,JEFFERSON PARK AVE,,LOT 2,0
190057200,305800,36587663,201,MONTE VISTA AVE,,LOTS 44&52 BK 1-2 MONTE VISTA,0
200059000,226000,36587664,2714,JEFFERSON PARK AVE,,LOT 8 BK A OAKLAWNS,0
190034330,324100,36587665,203,OLD LYNCHBURG RD,,LOT 33 BK B JEFFERSON WOODS,0
200050000,312800,36587666,2709,JEFFERSON PARK AVE,,LOT .33 ACRES,7797.24
190057100,281200,36587667,203,MONTE VISTA AVE,,LOTS 42 & 43 BK 1 MONTE VISTA,0
200060000,360400,36587668,2716,JEFFERSON PARK AVE,,LOT 7 BK A OAKLAWNS,0
200148000,21100,36587669,0,BELLEVIEW ST,,LOTS 44-46 BK 4 MONTE VISTA,0
200051000,350700,36587670,2715,JEFFERSON PARK AVE,,LOT 1,10367.28
200121000,43300,36587671,0,MONTE VISTA AVE,,LOTS 114-116 BK 3 MONTE VISTA,0
200120000,314600,36587672,200,MONTE VISTA AVE,,LOTS 30 & 31 BK 3 MONTE VISTA,0
190057000,544400,36587673,207,MONTE VISTA AVE,,LOTS 38-41 BK 1 MONTE VISTA,0
200039000,456300,36587674,2720,JEFFERSON PARK AVE,,LOT 7 BK B OAKLAWNS,0
200123000,379000,36587675,204,MONTE VISTA AVE,,LOTS 32-34 BK 3 MONTE VISTA,0
200147000,43300,36587676,0,BELLEVIEW ST,,LOTS 40-43 BK 4 MONTE VISTA,0
200122000,21100,36587677,0,BELLEVIEW ST,,"LOTS 111,112,113 MONTE VISTA",0
200049000,237900,36587678,105,AZALEA DR,,LOT 1 AZALEA GARDENS,9975.24
200038000,390000,36587679,2722,JEFFERSON PARK AVE,,LOT 6 BK B OAKLAWNS,0
190056000,339800,36587680,209,MONTE VISTA AVE,,LOTS 35-37 BK 1 MONTE VISTA,0
200124000,417800,36587681,206,MONTE VISTA AVE,,LOTS 35-37 MONTE VI,0
200024000,435800,36587682,108,OAK LAWN CT,,REVISED LOT 2&PAR X BK C OAKLAWNS,0
200026000,288300,36587683,111,HARRIS RD,,LOT 7 BK C OAKLAWNS,6882.48
200125000,43300,36587684,0,MONTE VISTA AVE,, LOTS 108-110 BK 3 MONTE VIS,0
200037000,262300,36587685,2724,JEFFERSON PARK AVE,,LOT 5 BK B OAKLAWNS,0
200146000,19900,36587686,0,BELLEVIEW ST,,LOTS 38 & 39 BK 4 MONTE VISTA,0
200048000,259500,36587687,107,AZALEA DR,,LOT 2 AZALEA,8189.28
200040000,538700,36587688,100,AZALEA DR,,LOT 6 AZALEA,11804.76
200029000,364500,36587689,109,HARRIS RD,,LOT B-1 OAKLAWNS,10802.88
190055000,384800,36587690,211,MONTE VISTA AVE,,LOTS 32-34 BK 1 MONTE VISTA,0
200036000,236000,36587691,2726,JEFFERSON PARK AVE,,LOT 4 BK B OAKLAWNS,0
200041000,329300,36587692,2725,JEFFERSON PARK AVE,,LOT A,6316.2
200126200,298400,36587693,208,MONTE VISTA AVE,,LOTS 38 & 39 BK 3 MONTE VISTA,0
200145000,40500,36587694,0,BELLEVIEW ST,,LOTS 30-37 BK 4 MONTE VISTA,0
200126000,54100,36587695,208-210,MONTE VISTA AVE,REAR,LOTS 104-107 BK 3 MONTE VISTA,0
200047000,423900,36587696,109,AZALEA DR,,LOT 3 AZALEA,9365.4
200031000,328000,36587697,107,HARRIS RD,,LOT A-1 OAKLAWNS,0
200035000,254600,36587698,2728,JEFFERSON PARK AVE,,LOT 3 & PT 2 BK B OAKLAWNS,0
200126100,323100,36587699,210,MONTE VISTA AVE,,LOTS 40 & 41 BK 3 MONTE VISTA,0
190054000,260400,36587700,222,OLD LYNCHBURG RD,,PT LOTS 29-31 BK 1 MONTE VISTA,0
200042000,248100,36587701,106,AZALEA DR,,LOT 7 AZALEA,9365.4
190054100,255100,36587702,213,MONTE VISTA AVE,,PT LOTS 29-30 BK 1 MONTE VISTA,0
200046000,307200,36587703,111,AZALEA DR,,LOT 4 AZALEA,9365.4
200127001,43300,36587704,0,MONTE VISTA AVE,,LOTS 102 & 103 BK 3 MONTE VISTA,0
190052000,405700,36587705,217,MONTE VISTA AVE,,LOT A BK 1,0
200041100,343000,36587706,2727,JEFFERSON PARK AVE,,LOT B,9191.16
200033000,314100,36587707,2730,JEFFERSON PARK AVE,,LOT 1A BK B OAKLAWNS,0
200043000,252400,36587708,108,AZALEA DR,,LOT 8 AZALEA,9365.4
200128000,416200,36587709,214,MONTE VISTA AVE,,"LOTS 44,45,PT 46 BK 3 MV",0
200129000,43300,36587710,0,MONTE VISTA AVE,,LOTS 98-101 BK 3 MONTE VISTA,0
200045100,330400,36587711,113,AZALEA DR,,LOT 5 AZALEA,9365.4
200041200,267900,36587712,2729,JEFFERSON PARK AVE,,LOT C,9278.28
190051000,425300,36587713,219,MONTE VISTA AVE,,"LOTS 25,26,47,48 BK 1 MONTE VI",0
200028000,306300,36587714,106,HARRIS RD,,LOT AZALEA,6577.56
200144000,148500,36587715,0,MONTE VISTA AVE,,LOTS 6-29 BK 4 MONTE VISTA,0
200044000,309900,36587716,110,AZALEA DR,,LOT 9 AZALEA GARDENS,9365.4
200028100,293700,36587717,104,HARRIS RD,,LOT 3 AZALEA,8755.56
200130000,344100,36587718,218,MONTE VISTA AVE,,LOTS 47-49 & PT 46&50 BK 3 MONTE VISTA,0
190049000,366200,36587719,221,MONTE VISTA AVE,,LOTS 23 & 24 BK 1 MONTE VISTA,0
200028200,329900,36587720,102,HARRIS RD,,LOT 2 AZALEA,8276.4
200045000,314100,36587721,115,AZALEA DR,,LOT,12501.72
200028300,306700,36587722,100,HARRIS RD,,LOT 1 AZALEA,9104.04
190048000,488500,36587723,223,MONTE VISTA AVE,,LOTS 21 & 22 BK 1 MONTE VISTA,0
200259400,257800,36587724,107,HILTON DR,,LOT 6 BK 4 SEC 6 AZALEA GARDEN,9452.52
190046000,299800,36587725,225,MONTE VISTA AVE,,LOTS 19 & 20 BK 1 MONTE VISTA,0
200259300,440100,36587726,105,HILTON DR,,LOT 5A BK 4 SEC 6 AZALEA GARD,14069.88
190045000,420300,36587727,227,MONTE VISTA AVE,,LOTS 17&18 BK 1 MONTE VISTA,0
200151000,328500,36587728,201,AZALEA DR,,LOT 1 BK 1 AZALEA GARDENS,9016.92
200133000,88900,36587729,228,MONTE VISTA AVE,,LOT A  & PAR X BK 3 MONTE VIST,0
200259140,352500,36587730,601,MOSELEY DR,,LOT 10 BK 10 SEC 6 AZALEA GARD,9104.04
190044000,287500,36587731,229,MONTE VISTA AVE,,LOT A BK 1 MONTE VISTA,0
200142000,106400,36587732,0,MONTE VISTA AVE,,LOTS 73-90 BK 3 MONTE VISTA,0
200259130,445500,36587733,603,MOSELEY DR,,LOT 9 BK 10 SEC 6 AZALEA GARD,9496.08
200134000,263600,36587734,230,MONTE VISTA AVE,,LOT B BK 3 MONTE VISTA,0
200152000,360200,36587735,203,AZALEA DR,,LOT 2 BK 1 AZALEA GARDENS,8755.56
190043000,350100,36587736,231,MONTE VISTA AVE,,LOTS 13 & 14 BK 1 MONTE VISTA,0
200259200,360500,36587737,103,HILTON DR,,LOT 4A BK 4 SEC 6 AZALEA GARD,9321.84
200259120,88000,36587738,605,MOSELEY DR,,LOT 8 BK 10 SEC 6 AZALEA GARD,9104.04
200259110,316800,36587739,607,MOSELEY DR,,LOT 7A BK 10 ADD 6 AZALEA GARD,9365.4
200135000,301700,36587740,232,MONTE VISTA AVE,,LOT C BK 3 MONTE VISTA,0
200259100,321800,36587741,101,HILTON DR,,LOT 3 BK 4 SEC 6 AZALEA GARDEN,11543.4
200259101,313800,36587742,609,MOSELEY DR,,LOT 6A BK 10 SEC 6 AZALEA GARD,9191.16
200153000,354700,36587743,205,AZALEA DR,,LOT 3 BK 1 AZALEA GARDENS,8755.56
200259500,432300,36587744,100,HILTON DR,,LOT 1 BK 10 SEC 6 AZALEA GARD,10410.84
200259900,268000,36587745,611,MOSELEY DR,,LOT 5A BK 10 SEC 6 AZALEA GARD,10149.48
200259800,384800,36587746,613,MOSELEY DR,,LOT 4A BK 10 SEC 6 AZALEA GARD,9801
200136000,402300,36587747,234,MONTE VISTA AVE,,LOT D BK 3 MONTE VISTA,0
200234000,310700,36587748,111,CAMELLIA DR,,LOT 6 BK 5 SEC 2 AZALEA GARDEN,8799.12
200259600,298900,36587749,617,MOSELEY DR,,LOT 2A BK 10 SEC 6 AZALEA GARD,9321.84
200259360,322500,36587750,534,MOSELEY DR,,LOT 1 BK 9 SEC 6 AZALEA GARD,10715.76
190035150,322300,36587751,2727,MCELROY DR,,LOT 15 BK A JEFFERSON WOODS,0
200259700,291700,36587752,615,MOSELEY DR,,LOT 3A BK 10 SEC 6 AZALEA GARD,9975.24
200154000,313300,36587753,207,AZALEA DR,,LOT 4 BK 1 AZALEA GARDENS,8755.56
200137000,354700,36587754,236,MONTE VISTA AVE,,LOT E BK 3 MONTE VISTA,0
200259250,340500,36587755,600,MOSELEY DR,,LOT 12 BK 8 SEC 6 AZALEA GARD,11717.64
200259370,91400,36587756,304,FLINT DR,,LOT 2 BK 9 ADD 8 AZALEA GARDEN,19994.04
200233000,313000,36587757,201,CAMELLIA DR,,LOT 14 BK 5 SEC 4 AZALEA GARD,8799.12
200259150,337800,36587758,620,MOSELEY DR,,LOT 2 BK 8 SE 6 AZALEA GARDENS,10105.92
200259240,346600,36587759,602,MOSELEY DR,,LOT 11 BK 8 SEC 6 AZALEA GARD,11586.96
200155000,331500,36587760,209,AZALEA DR,,LOT 5 BK 1 AZALEA GARDENS,8755.56
200259380,91400,36587761,306,FLINT DR,,LOT 3 BK 9 ADD 8 AZALEA GARDEN,16944.84
200259230,354400,36587762,604,MOSELEY DR,,LOT 10 BK 8 SEC 6 AZALEA GARD,11586.96
200259160,318700,36587763,618,MOSELEY DR,,LOT 3 BK 8 SEC 6 AZALEA GARD,10062.36
200138000,260100,36587764,238,MONTE VISTA AVE,,LOT F BK 3 MONTE VISTA,0
200259170,317000,36587765,616,MOSELEY DR,,LOT 4 BK 8 SEC 6 AZALEA GARD,9757.44
200232000,314700,36587766,203,CAMELLIA DR,,LOT 13 BK 5 SEC 4 AZALEA GARD,11412.72
200259220,350900,36587767,606,MOSELEY DR,,LOT 9 BK 8 SEC 6 AZALEA GARD,14461.92
200277000,390800,36587768,119,LONGWOOD DR,,LOT 26 LONGWOOD PARK,8145.72
200139000,327400,36587769,240,MONTE VISTA AVE,,LOT G BK 3 MONTE VISTA,0
200259180,345900,36587770,614,MOSELEY DR,,LOT 5 BK 8 SEC 6 AZALEA GARD,11107.8
200259210,293000,36587771,608,MOSELEY DR,,LOT 8 BK 8 SEC 6 AZALEA GARD,16988.4
200235000,306300,36587772,126,AZALEA DR,,LOT 8 BK 5 AZALEA GARDENS,8755.56
200259260,91400,36587773,101,KEENE CT,,LOT 13 BK 8 AD 8 AZALEA GARDEN,10018.8
200259190,333000,36587774,612,MOSELEY DR,,LOT 6 BK 8 SEC 6 AZALEA GARD,12632.4
200143000,49700,36587775,0,BELLEVIEW ST,,LOTS 1-5 BK 4 MONTE VISTA,0
200259201,352600,36587776,610,MOSELEY DR,,LOT 7 BK 8 ADD 6 AZALEA GARD,14331.24
200276100,127800,36587777,121-A,LONGWOOD DR,,LOT 25A LONGWOOD PARK,4051.08
200231000,309900,36587778,205,CAMELLIA DR,,LOT 12 BK 5 SEC 4 AZALEA GARD,11412.72
200140000,270800,36587779,242,MONTE VISTA AVE,,LOT H BK 3 MONTE VISTA,0
200258000,291100,36587780,213,AZALEA DR,,LOT 7 BK 1 AZALEA GARDENS,8276.4
200259270,91400,36587781,103,KEENE CT,,LOT 14 BK 8 AD 8 AZALEA GARDEN,9539.64
200276000,127300,36587782,121-B,LONGWOOD DR,,LOT 25B LONGWOOD PARK,4051.08
200259280,91400,36587783,105,KEENE CT,,LOT 15 BK 8 AD 8 AZALEA GARDEN,10454.4
200275000,288500,36587784,123,LONGWOOD DR,A&B,LOT 24 LONGWOOD PARK,9191.16
200259290,91400,36587785,107,KEENE CT,,LOT 16 BK 8 AD 8 AZALEA GARDEN,14418.36
